Maasijam Model D Controller BOM v1.0,,
,,
Name,Quantity,Link
"DI 12MM Spacers, metal, 6-edge, M3",5,https://www.reichelt.de/spacers-metal-6-edge-m3-12-mm-di-12mm-p44769.html?
"DA 10MM Spacers, metal, 6-edge, M3",4,https://www.reichelt.de/spacers-metal-6-edge-m3-10-mm-da-10mm-p7017.html?
Screws M3 6mm,10,https://www.reichelt.de/zylinderkopfschrauben-schlitz-m3-6-mm-200-stueck-szk-m3x6-200-p65692.html?&nbc=1
B5K Tall Trimmer 9mm,25,http://www.banzaimusic.com/song-huei-rk0904n-black-5k-lin.html
Alpha 9-PC-ANG-5k lin,3,https://www.banzaimusic.com/Alpha-9-PC-ANG-5k-lin.html
Synth knob Synthie-2 Black ,3,https://www.banzaimusic.com/Synth-knob-Synthie-2-Black.html
Toggleswitch SPDT,10,https://www.banzaimusic.com/PIC-PB11-RED.html
Red Push Button Befaco,5,http://www.banzaimusic.com/PIC-PB11-RED.html
Switch Caps Red Befaco,10,http://www.banzaimusic.com/Toggle-Switch-Cap-Red.html
LED 3mm red,5,http://www.banzaimusic.com/LED-3mm-red-standard.html
74HC4051 Multiplexer,5,https://www.reichelt.de/multi-demultiplexer-8-ch-2--10-v-dil-16-74hc-4051-p3229.html?&nbc=1
Teensy LC,1,https://eckstein-shop.de/PJRCTeensyLCwithHeaderPinsUSBDevelopmentMicrocontrollerBoard32bit48MHzCortex-M02B
IC socket 16 Pin,5,https://www.reichelt.de/praezisionsfassung-16-polig-rm-2-54-mpe-001-1-016-3-p213780.html?&nbc=1
R1K,5,https://www.reichelt.de/melf-widerstand-0207-1k-ohm-1-w-1--vit-zc207-1-0k-p277863.html?&nbc=1
R10K,1,https://www.reichelt.de/melf-widerstand-0207-10k-ohm-1-w-1--vit-zc207-10k-p277878.html?&nbc=1
Header Connector 2.54 mm,,https://eckstein-shop.de/3PCS40Pin254mmSingleRowStraightFemalePinHeaderStripPBCArduino
"USB BW USB panel socket, series B",1,https://www.reichelt.de/usb-panel-socket-series-b-angled-pcb-assembly-usb-bw-p22186.html?
"Bumper, self-adhesive, Ø 12,7 mm, black",5,https://www.reichelt.de/bumper-self-adhesive-12-7-mm-black-rnd-455-00508-p211687.html?
